approach,precision,recall,f1
Task 0 (Contenu),N/A,N/A,N/A
Task 1 (Collaboratif),0.0106024096385542,0.0431745429938201,0.0166240900059193
Task 2 (RDF),0.30141402714932125,0.48791666666666667,0.33275974025974026
